cell_type,Vehicle_S1,Vehicle_S2,Vehicle_S9,SMAC_S3,SMAC_S11,SMAC_S12,ICB_S5,ICB_S13,ICB_S14,SMAC+ICB_S7,SMAC+ICB_S8,SMAC+ICB_S15
Hematopoietic stem cell_XCELL,0.00160692786596174,0.00560430731602984,0.00185858940782186,0.0010098360609186,0.000332509714070071,0.00415992163747596,0.00393683763060354,0.00928582992461141,0.012641237775391,0,4.7227460993658e-23,0.00308106879222499
Macrophage_XCELL,0,0,0,0.00305132834393276,0,0,0.000815630441164554,5.89471336257118e-19,0.00104890333180063,1.95236506492376e-18,0.00364092932167012,0.000451074331348315
Macrophage M1_XCELL,4.17317768361506e-19,0,0,0,0,2.04569215447019e-20,0.000399160039733848,0.000989776160860587,0.000665270933042175,0.00275916571631996,0.00196928517892116,0.00155844136729248
Macrophage M2_XCELL,1.40820767592945e-19,0,8.62299544212818e-21,0.00111436157835584,3.83824896614914e-20,0.000159142488712272,0.0025473620576622,0.000523319886359854,0.000104521907248717,0.00121935904622926,0.00162667703435091,7.75447912423995e-05
Mast cell_XCELL,0.00104140874217845,0.00178593325751413,0.0016006256293174,0,0.00254999600248432,0.00154302570161806,0.000993748198696912,0.000738987622140951,0.000747799238781739,0.000708303839704082,0.00147667136115785,0.00127408779013085
B cell memory_XCELL,1.07327940051708e-18,3.14759305937109e-20,0,5.71875300414233e-21,2.76775054652504e-19,0,0,1.89858490446974e-19,8.52550751498282e-19,0,0.00173202278662474,0.000302281961887437
Monocyte_XCELL,0,1.54897470698898e-19,6.06997836233041e-19,0,2.96634809731788e-18,0,0.000818957457174776,0,0.000974542607722979,0,0.00628012045512017,0.00332499857420172
B cell naive_XCELL,0,5.98848140753431e-20,0,0,0,0,2.78727973782911e-19,7.60555155110799e-19,0.00146149258009547,0.000358739704452733,0.004182612192112,0.000796508810339655
Neutrophil_XCELL,3.30530454873571e-19,0,1.16774934155393e-19,3.59004484266893e-19,5.02859826894162e-20,3.74605314912559e-19,0,3.69320286013012e-19,3.21503437751276e-21,0,1.06967120481864e-20,0
NK cell_XCELL,8.69784616569759e-19,6.48559042562762e-20,1.20340101525318e-19,0,0,0,8.65900599728411e-19,1.38412721546934e-18,0,0,5.19617001590562e-20,2.86762238089158e-19
T cell NK_XCELL,0.00817001859054996,0.0011543452890056,0.00931876343709754,0.00209653319851935,0.019663180615361,0.00358277522242625,0.00470476621507578,0.0180643913606189,0.00118953861715801,0.00279003884433831,4.46199596529784e-19,0.000395958018059108
Plasmacytoid dendritic cell_XCELL,0,0,0,9.85081720873614e-20,0,2.42745083902779e-19,0.00108583355641381,0,5.09528215916506e-21,0.00110871018944267,0,2.62553036170835e-19
B cell plasma_XCELL,0.000357972033181379,1.01951097360704e-20,0,0.00776907596239908,0.00115136156596983,0.000357010681090674,0.0129988003430266,0.000357524316608315,0.00615393325474328,0.0216138570428738,0.012150835050196,0
T cell gamma delta_XCELL,0,0.000382137286501855,0,0,1.48599536003815e-19,4.01569216859232e-19,2.15489872751964e-19,4.2426634153321e-19,0,0,1.30563075577417e-19,5.22227449009618e-19
T cell CD4+ Th1_XCELL,0.00173801488211513,0.00350495572863479,1.7427951298961e-19,0.00464844620724174,0.0040967889718452,0.000984682129748735,1.13677452169238e-19,2.80189757955557e-20,0.00139576613120929,0.000103961841104334,0.000110576176854579,0.00430574400778816
T cell CD4+ Th2_XCELL,1.78442231400279e-19,0.00141408363465614,0,0.0166236990292513,0.00191804553209591,0.00136897186309661,8.21497153966976e-19,0,0.000926589308040396,0.00744241814434637,0.000135221254315274,0.00438998854015372
T cell regulatory (Tregs)_XCELL,5.4616251580104e-19,8.28264344190514e-19,0,8.13451558136409e-19,4.84384560481179e-19,0,0,2.19413421833158e-21,0,0,0,0
immune score_XCELL,0.00419238976443294,0.00318729464280514,0.00314385039688651,0.00435961503249217,0.00169999733498955,0.00264224286002604,0.00844583639028861,0.00241546569197285,0.00473566401904938,0.00834547589897422,0.0215779789476377,0.0045779360084648
stroma score_XCELL,1.48050772978332e-20,0.00107396660917832,7.0590896207288e-19,8.49138118190771e-19,0,2.22871894952732e-19,5.15522218333848e-19,1.33785808164251e-18,0.000495129448918313,1.09580107354876e-18,5.2627301469976e-20,0.00135487416597376
microenvironment score_XCELL,0.00419238976443294,0.00426126125198347,0.00314385039688651,0.00435961503249217,0.00169999733498955,0.00264224286002604,0.00844583639028861,0.00241546569197285,0.00523079346796769,0.00834547589897422,0.0215779789476377,0.00593281017443855
B cell_EPIC,0.0073333388269307,0.0191023985493489,0.0125955540646541,0.011178856441618,0.00378694622966943,0.0108280618893694,6.37390013957316e-09,0.0158079577442022,0.0144408387614002,1.1604767895523e-08,0.0073513752961758,0.0101965814023671
Cancer associated fibroblast_EPIC,0.00798088497323912,0.00832977772037933,0.00777981844947685,0.00927965532149793,0.00841507534272486,0.0107337746736003,0.00716366284564587,0.00897727480630451,0.0106297191848966,0.00919845935276866,0.0112302127378402,0.013937973618318
T cell CD4+_EPIC,0.012996630183283,0.0325729835659911,0.0453968213394729,0.0747378975828246,0.0881275286039902,0.0498149775571452,0.118905995788268,0.104695959774026,0.0712469779885361,0.101799611233826,0.0928306624730014,0.100090143368228
T cell CD8+_EPIC,4.09446961729283e-08,1.60749074628865e-06,5.2264548664078e-06,3.01786517752431e-08,1.41125249378689e-08,6.73542169115554e-08,0.0437330048032631,0.0340113596471338,0.0128403307873953,0.0585887410632063,0.0633303638209128,0.0160362661639244
Endothelial cell_EPIC,0.0890922960851227,0.100144861860472,0.0863557081248528,0.0879799374772574,0.0887124514146371,0.0880708294206423,0.0812905682257943,0.0837686933154792,0.092789795668368,0.0864386526375336,0.09019441101231,0.109533215580132
Macrophage_EPIC,5.38428108228724e-10,5.53076809658686e-09,3.85569770723883e-06,0.00412557416992339,0.00247407251988961,0.00185424045198931,0.00283894564522428,0.00435460319755461,0.00279901815668225,0.00371627357924012,0.00456090091268606,0.00717801300113195
NK cell_EPIC,0.0278922354315415,5.07561458102655e-09,0.039705446297645,0.0427447290563515,0.0148460811562173,0.0485524359955855,0.0366255798026392,0.0236058839108871,0.0579796951515776,0.0486845105908454,0.0803282954690656,0.0917292756777038
uncharacterized cell_EPIC,0.854704573016759,0.83984836020668,0.808157569571325,0.769953319771876,0.793637830620347,0.790145612657451,0.709442236515265,0.724778267604413,0.737273624301144,0.691573739937812,0.650173778278008,0.651298531188195
